dataset_type,density,model,noise_level,method,mse,chamfer_distance,max_error,mean_error,normal_consistency,density_ratio
synthetic,D01,bunny,L01,Noisy,1.2216476549336513e-05,0.0033167366685911744,0.006062177826491043,0.0034952076546804073,0.9974193365557117,0.9168219879266698
synthetic,D01,bunny,L01,Bilateral,1.4818728245666928e-05,0.0034986867645495916,0.011194224328962046,0.0038495101306097283,0.9965341664862123,0.9168219879266698
synthetic,D01,bunny,L01,Guided Filter,3.439336977499991e-05,0.004245634200682262,0.013167308442103886,0.005864586070218418,0.9937867785771218,0.9168219879266698
synthetic,D01,bunny,L01,bipartite_graph_denoising,2.740536098768514e-05,0.004261764759472042,0.014520873548944017,0.005235012988301475,0.9950128478901721,0.9168219879266698
synthetic,D01,bunny,L01,Weighted multi projection,3.439336977499991e-05,0.004245634200682262,0.013167308442103886,0.005864586070218418,0.9937867785771218,0.9168219879266698
synthetic,D01,bunny,L02,Noisy,2.2607594890227183e-05,0.004375907744156504,0.008227241335952094,0.004754744461085914,0.9957266385856849,0.7012824435975186
synthetic,D01,bunny,L02,Bilateral,1.971987061834982e-05,0.00383894211585996,0.013912505413885314,0.004440706094569851,0.9942267368115072,0.7012824435975186
synthetic,D01,bunny,L02,Guided Filter,2.9261642488009846e-05,0.004188793336483578,0.014731530658131072,0.005409403154508809,0.9942319752689329,0.7012824435975186
synthetic,D01,bunny,L02,bipartite_graph_denoising,3.4901123376369705e-05,0.00457132097977671,0.015143325728625187,0.0059077172728871944,0.9936788784810832,0.7012824435975186
synthetic,D01,bunny,L02,Weighted multi projection,2.9261642488009846e-05,0.004188793336483578,0.014731530658131072,0.005409403154508809,0.9942319752689329,0.7012824435975186
synthetic,D01,bunny,L03,Noisy,3.618311629674203e-05,0.005363166755401111,0.010392304845413272,0.006015240335742374,0.992509332282272,0.49414415667510503
synthetic,D01,bunny,L03,Bilateral,2.9836027886515448e-05,0.004483948128132201,0.015463002355788865,0.005462236527880813,0.9902274450926031,0.49414415667510503
synthetic,D01,bunny,L03,Guided Filter,3.618311629674203e-05,0.005363166755401111,0.010392304845413272,0.006015240335742374,0.992509332282272,0.49414415667510503
synthetic,D01,bunny,L03,bipartite_graph_denoising,4.9855229333102296e-05,0.005224189164062905,0.0171946783662823,0.007060823559125543,0.9902706143830692,0.49414415667510503
synthetic,D01,bunny,L03,Weighted multi projection,3.618311629674203e-05,0.005363166755401111,0.010392304845413272,0.006015240335742374,0.992509332282272,0.49414415667510503
synthetic,D01,bunny,L04,Noisy,6.405974789325944e-05,0.006921147499229987,0.013856406460551031,0.008003733372199466,0.9872404154774207,0.3023896291762873
synthetic,D01,bunny,L04,Bilateral,5.234270408157238e-05,0.005603482925328635,0.020128316307507693,0.007234825781010375,0.9809109650169777,0.3023896291762873
synthetic,D01,bunny,L04,Guided Filter,6.405974789325944e-05,0.006921147499229987,0.013856406460551031,0.008003733372199466,0.9872404154774207,0.3023896291762873
synthetic,D01,bunny,L04,bipartite_graph_denoising,8.275760218937658e-05,0.006383531095135915,0.022572789097010108,0.009097120543852135,0.9832956024174703,0.3023896291762873
synthetic,D01,bunny,L04,Weighted multi projection,6.405974789325944e-05,0.006921147499229987,0.013856406460551031,0.008003733372199466,0.9872404154774207,0.3023896291762873
synthetic,D01,cube,L01,Noisy,6.689300005633846e-05,0.007687198872750267,0.012817175976009693,0.008178814098409284,0.9980608797315611,0.9105666865040005
synthetic,D01,cube,L01,Bilateral,6.338882012467096e-05,0.007445206744458748,0.018305731994299,0.007961709623232371,0.9967640662722892,0.9105666865040005
synthetic,D01,cube,L01,Guided Filter,6.689300005633846e-05,0.007687198872750267,0.012817175976009693,0.008178814098409284,0.9980608797315611,0.9105666865040005
synthetic,D01,cube,L01,bipartite_graph_denoising,9.723178729808879e-05,0.00830754127332129,0.020291123035096094,0.009860617997777259,0.9968082233014363,0.9105666865040005
synthetic,D01,cube,L01,Weighted multi projection,6.689300005633846e-05,0.007687198872750267,0.012817175976009693,0.008178814098409284,0.9980608797315611,0.9105666865040005
synthetic,D01,cube,L02,Noisy,9.914612118309842e-05,0.00942440542256854,0.014722431864335458,0.009957214529329898,0.9959185691430602,0.6906037161938768
synthetic,D01,cube,L02,Bilateral,9.872133492937279e-05,0.009314293401732274,0.018872320917254916,0.009935861056263458,0.9974399160104203,0.6906037161938768
synthetic,D01,cube,L02,Guided Filter,9.914612118309842e-05,0.00942440542256854,0.014722431864335458,0.009957214529329898,0.9959185691430602,0.6906037161938768
synthetic,D01,cube,L02,bipartite_graph_denoising,0.00014026635041158297,0.01018526835309868,0.023254341000701655,0.011843409577126976,0.9962158968406941,0.6906037161938768
synthetic,D01,cube,L02,Weighted multi projection,9.914612118309842e-05,0.00942440542256854,0.014722431864335458,0.009957214529329898,0.9959185691430602,0.6906037161938768
synthetic,D01,cube,L03,Noisy,0.00016713809301408498,0.012171757270230626,0.01732050807568878,0.012928189858370931,0.9951194022810915,0.4959994710044303
synthetic,D01,cube,L03,Bilateral,0.0001716405789997505,0.012090411411913271,0.02874980002288226,0.013101167085406953,0.9926663127428751,0.4959994710044303
