,,mean,mean,mean,std,std,std
,,chamfer_distance,mse,normal_consistency,chamfer_distance,mse,normal_consistency
method,noise_level,,,,,,
Bilateral,L01,0.0026,0.0,0.9944,0.002,0.0,0.0055
Bilateral,L02,0.004,0.0,0.9925,0.002,0.0,0.0079
Bilateral,L03,0.006,0.0001,0.9808,0.0023,0.0,0.0163
Bilateral,L04,0.0085,0.0001,0.9128,0.0028,0.0001,0.0865
Guided Filter,L01,0.0031,0.0,0.9929,0.002,0.0,0.0067
Guided Filter,L02,0.0046,0.0,0.9914,0.0018,0.0,0.0073
Guided Filter,L03,0.0072,0.0001,0.9708,0.0021,0.0,0.0254
Guided Filter,L04,0.0101,0.0001,0.8933,0.0027,0.0001,0.1085
Noisy,L01,0.0024,0.0,0.9957,0.0022,0.0,0.0047
Noisy,L02,0.0043,0.0,0.9926,0.002,0.0,0.0064
Noisy,L03,0.0072,0.0001,0.9743,0.0021,0.0,0.0209
Noisy,L04,0.01,0.0001,0.9008,0.0027,0.0001,0.0988
Weighted multi projection,L01,0.0031,0.0,0.9929,0.002,0.0,0.0067
Weighted multi projection,L02,0.0046,0.0,0.9914,0.0018,0.0,0.0073
Weighted multi projection,L03,0.0072,0.0001,0.9708,0.0021,0.0,0.0254
Weighted multi projection,L04,0.0101,0.0001,0.8933,0.0027,0.0001,0.1085
bipartite_graph_denoising,L01,0.0045,0.0,0.9925,0.0016,0.0,0.0069
bipartite_graph_denoising,L02,0.0052,0.0,0.9904,0.002,0.0,0.0083
bipartite_graph_denoising,L03,0.0071,0.0001,0.9682,0.0023,0.0001,0.0258
bipartite_graph_denoising,L04,0.0098,0.0001,0.8731,0.0031,0.0001,0.1292
